               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,            0.020095,           0.0089505,           0.0013978,             0.86185,             0.82387,              0.8786,             0.66694,            0.012128,           0.0063498,           0.0023039,           0.0077725,           0.0077725,           0.0077725
                  47,            0.019756,            0.009001,           0.0012029,             0.88287,             0.82893,             0.88558,             0.67069,            0.012027,           0.0055352,           0.0011808,            0.007723,            0.007723,            0.007723
                  48,            0.019831,           0.0090142,            0.001179,             0.87216,             0.82561,              0.8892,             0.67614,            0.011887,           0.0054594,           0.0018387,           0.0076735,           0.0076735,           0.0076735
                  49,            0.019663,            0.008974,           0.0011632,             0.84921,             0.83635,              0.8755,              0.6639,            0.011974,           0.0058236,           0.0012915,            0.007624,            0.007624,            0.007624
                  50,            0.019665,           0.0088707,           0.0012441,             0.85941,             0.83651,             0.88223,             0.67016,            0.011954,           0.0060193,           0.0026892,           0.0075745,           0.0075745,           0.0075745
                  51,            0.019589,           0.0088928,            0.001168,             0.87453,             0.85019,             0.89045,             0.67877,            0.011575,           0.0052798,           0.0012549,            0.007525,            0.007525,            0.007525
                  52,            0.019123,           0.0086438,          0.00098206,             0.87012,             0.83859,             0.88719,             0.67413,            0.011917,           0.0061887,           0.0012113,           0.0074755,           0.0074755,           0.0074755
                  53,            0.019126,           0.0088535,           0.0010076,             0.88993,             0.80681,             0.87672,             0.66574,             0.01181,           0.0065574,           0.0017452,            0.007426,            0.007426,            0.007426
                  54,            0.018847,           0.0085916,          0.00099247,             0.89132,              0.8162,             0.89433,             0.68327,            0.011607,           0.0058172,           0.0012276,           0.0073765,           0.0073765,           0.0073765
                  55,            0.018781,           0.0085168,          0.00098835,             0.88728,              0.8317,             0.89111,             0.68919,            0.011613,           0.0056785,          0.00086781,            0.007327,            0.007327,            0.007327
                  56,             0.01864,           0.0084745,           0.0011081,             0.88931,             0.82042,             0.88456,             0.68204,            0.011697,           0.0059845,           0.0015061,           0.0072775,           0.0072775,           0.0072775
                  57,            0.018833,           0.0086197,           0.0011967,             0.88371,             0.84304,             0.89024,             0.68453,            0.011733,           0.0058181,           0.0016028,            0.007228,            0.007228,            0.007228
                  58,            0.018603,           0.0085844,          0.00099415,             0.86832,               0.841,             0.89506,             0.69054,            0.011484,           0.0052599,           0.0012803,           0.0071785,           0.0071785,           0.0071785
                  59,             0.01835,           0.0084583,          0.00099914,             0.86508,              0.8427,             0.89748,             0.69528,            0.011545,           0.0057283,            0.001337,            0.007129,            0.007129,            0.007129
                  60,            0.018506,            0.008441,              0.0011,              0.8761,             0.83919,             0.89281,             0.69074,            0.011488,           0.0056995,           0.0010732,           0.0070795,           0.0070795,           0.0070795
                  61,            0.018705,            0.008423,           0.0011553,             0.89129,             0.84212,             0.89126,              0.6853,            0.011575,           0.0053711,          0.00085317,             0.00703,             0.00703,             0.00703
                  62,            0.018311,           0.0085507,           0.0009748,             0.90069,             0.85471,             0.89762,             0.69228,            0.011319,           0.0051818,          0.00081792,           0.0069805,           0.0069805,           0.0069805
                  63,            0.018167,           0.0084739,           0.0010605,              0.8733,             0.87135,             0.89404,             0.69405,            0.011341,           0.0051924,          0.00072688,            0.006931,            0.006931,            0.006931
                  64,             0.01838,           0.0084506,          0.00096351,             0.87582,             0.85981,             0.89685,             0.70112,            0.011171,           0.0051342,          0.00076628,           0.0068815,           0.0068815,           0.0068815
                  65,            0.018135,           0.0082792,          0.00098373,             0.88853,             0.83595,             0.89599,             0.69915,            0.011278,           0.0052075,           0.0011229,            0.006832,            0.006832,            0.006832
                  66,             0.01783,           0.0081412,          0.00082805,             0.86492,             0.87037,             0.90224,             0.69988,            0.011216,           0.0053323,           0.0014993,           0.0067825,           0.0067825,           0.0067825
                  67,            0.017896,           0.0082969,           0.0010745,              0.8848,             0.86627,             0.89986,              0.6998,            0.011382,           0.0052365,          0.00089964,            0.006733,            0.006733,            0.006733
                  68,            0.017697,           0.0080944,          0.00089764,             0.90098,             0.84793,             0.90164,             0.70094,            0.011306,             0.00538,           0.0011073,           0.0066835,           0.0066835,           0.0066835
                  69,            0.017368,           0.0079376,          0.00085598,             0.87079,              0.8584,             0.89649,             0.69932,            0.011177,           0.0052752,           0.0011053,            0.006634,            0.006634,            0.006634
                  70,            0.017706,           0.0080702,          0.00092793,             0.90422,             0.84735,             0.89728,             0.69711,            0.011064,           0.0051711,          0.00067278,           0.0065845,           0.0065845,           0.0065845
                  71,            0.017792,           0.0080942,          0.00099952,             0.86758,             0.87454,             0.89716,             0.69784,            0.010974,           0.0052197,            0.001035,            0.006535,            0.006535,            0.006535
